"AMEX Securities as of 11/9/2007","","",""
"Name","Symbol","Market Value (millions)","Description (as filed with the SEC)"
"Pyramid Oil Co","PDO","$15.0","Pyramid Oil Company is a California corporation that has been in the oil and
gas business continuously, since it was incorporated on October 9, 1909.  
Pyramid Oil Company, hereinafter referred to as ""Pyramid"" or the ""Company,"" is 
engaged in the business of exploration, development and production of crude 
oil and natural gas.  

Pyramid acquires interests in land and producing properties through
acquisition and lease on which it drills and/or operates crude oil or natural
gas wells in efforts to discover and/or to produce oil and gas.  Crude oil and
natural gas produced from these properties are sold to various refineries and
pipeline companies.  The majority of all oil and gas properties that Pyramid
owns and operates is for its own account.  Pyramid also participates in
specific joint ventures with other companies in the development of oil and gas
properties.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f30%2f0000081318-07-000009.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"QuadraMed Corporation","QD","$113.8","The business mission of QuadraMed Corporation along with our subsidiaries
(“QuadraMed” or the “Company”) is to advance the success of healthcare
organizations through IT solutions that leverage quality care into positive
financial outcomes. QuadraMed’s driving principles include: maintaining
long-term client relationships, building a culture of customer care, focusing on
innovation as the key to success, and striving to always deliver value.
QuadraMed offers innovative, user-friendly software applications designed and
developed by the healthcare professionals and software specialists we employ.

 

In the healthcare market, clinical information and quality measurements are
becoming drivers of revenue management. Access management, financial decision
support, health information management (“HIM”) processes and systems combined
with patient accounting systems are driving revenue management improvements and
the movement to new quality-based reimbursement models.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f16%2f0001193125-07-057011.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Quest Cap Corp New","QCC","$398.6","The Registrant was created on November 14, 1985, under the laws of the Province
of British Columbia, Canada by the statutory amalgamation of Cyrano Resources
Inc. and Cornucopia Resources Ltd., two British Columbia mining exploration and
development companies that were incorporated in 1980 and 1982, respectively. The
amalgamated company was called ""Cornucopia Resources Ltd."" (""Cornucopia""). Until
its reorganization in July 1999, the Company was historically involved in the
exploration, development and mining of precious metal deposits.

e-Commerce Operations

Commencing in 1999 the Registrant was engaged in the field of e-commerce,
providing Internet financial information management and database management,
through its 100% ownership of Stockscape Canada, which maintained an established
web-based investment portal offering integrated financial content and analytical
tools at www.stockscape.com.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2002%2f06%2f28%2f0001137171-02-000097.html#FIS_COMPANY_INFORMATION"" &nbsp;&nbsp;"
"Questcor Pharmaceuticals, Inc.","QSC","$90.7","This Annual Report contains forward-looking statements that have been made
pursuant to the provisions of the Private Securities Litigation Reform Act of
1995. These statements relate to future events or our future financial
performance. In some cases, you can identify forward-looking statements by
terminology such as “may,” “will,” “should,” “forecasts,” “expects,” “plans,”
“anticipates,” “believes,” “estimates,” “predicts,” “potential,” or “continue”
or the negative of such terms and other comparable terminology. These statements
are only predictions. Actual events or results may differ materially. Factors
that could cause or contribute to such differences include, but are not limited
to, those discussed in this Item 1 “Business,” Item 1A “Risk Factors,” and
Item 7 “Management’s Discussion and Analysis of Financial Condition and Results
of Operations,” as well as those discussed in any documents incorporated by
reference herein or therein.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f29%2f0000950134-07-006944.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"R.G. Barry Corporation","DFZ","$88.3","R. G. Barry Corporation was incorporated in Ohio in 1984; together with its
predecessors, the Company has been in operation since April 1947. The Company
designs, purchases, markets and distributes comfort footwear. The Company no
longer manufactures footwear, except through its French subsidiaries, Escapade,
S.A. and Fargeot et Compagnie, S.A. (together, “Fargeot”). Unless the context
requires otherwise, references in this report to “we,” “us,” “our,” and the
“Company” refers to R.G. Barry Corporation (the registrant) and its
subsidiaries.
   The principal executive offices of the Company are located at 13405 Yarmouth
Road N.W., Pickerington, Ohio 43147 and its telephone number is (614) 864-6400.
The Company’s common shares are traded on the American Stock Exchange (“AMEX”)
under the symbol “DFZ”, evoking its flagship brand name: Dearfoams®.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f09%2f27%2f0000950152-06-007820.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"RAE Systems Inc","RAE","$174.2","We are a leading global developer and manufacturer of rapidly-deployable,
multi-sensor chemical and radiation detection monitors and networks for
application in industrial and environmental safety and public and government
first responder security applications. We provide rapidly-deployable sensor
networks that enable our customers to identify safety and security threats in
real-time.
 
We offer a full line of portable single-sensor chemical and radiation detection
products, multi-sensor portable products and wireless integrated sensor systems.
In addition, we offer a line of fixed and mobile digital video recorders that
are used by the military, transportation agencies and public venues for safety
and security applications. Our technologically advanced products are based on
proprietary patented technology, and include portable, wireless and fixed
chemical detection monitors and gamma and neutron detectors and dosimeters.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f16%2f0000950134-07-005970.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"READING INTERNATIONAL INC","RDI","$201.5","Reading International, Inc., a Nevada corporation (“RDI”), was incorporated in
1999 incident to our reincorporation in Nevada. However, we trace our corporate
roots back to the Reading Railroad and its corporate predecessors, first
incorporated in 1833. Our Class A Nonvoting Common Stock (“Class A Stock”) and
Class B Voting Common Stock (“Class B Stock”) are listed for trading on the
American Stock Exchange under the symbols RDI and RDI.B. Our principal executive
offices are located at 500 Citadel Drive, Suite 300, Commerce, California 90040.
Our general telephone number is (213) 235-2240. Our website can be found at
www.readingrdi.com. In this Annual Report, we from time to time use terms such
as the “Company,” “Reading” and “we,” “us,” or “our” to refer collectively to
RDI and our various consolidated subsidiaries and corporate predecessors.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f30%2f0000716634-07-000012.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"READING INTERNATIONAL INC","RDI/B","$15.1","Reading International, Inc., a Nevada corporation (“RDI”), was incorporated in
1999 incident to our reincorporation in Nevada. However, we trace our corporate
roots back to the Reading Railroad and its corporate predecessors, first
incorporated in 1833. Our Class A Nonvoting Common Stock (“Class A Stock”) and
Class B Voting Common Stock (“Class B Stock”) are listed for trading on the
American Stock Exchange under the symbols RDI and RDI.B. Our principal executive
offices are located at 500 Citadel Drive, Suite 300, Commerce, California 90040.
Our general telephone number is (213) 235-2240. Our website can be found at
www.readingrdi.com. In this Annual Report, we from time to time use terms such
as the “Company,” “Reading” and “we,” “us,” or “our” to refer collectively to
RDI and our various consolidated subsidiaries and corporate predecessors.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f30%2f0000716634-07-000012.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Ready Mix Inc.","RMX","$34.3","Ready Mix, Inc. (“Company,” “Ready Mix,” “RMI,” “we,” “us” and “our”), based
in Las Vegas, Nevada, is engaged in the construction industry as a supplier of
construction materials. We provide ready mix concrete, sand and gravel products
to a variety of customers, including but not limited to, contractors,
subcontractors, individuals and owners of both private and public construction
projects. We have operations in the Las Vegas, Nevada and Phoenix, Arizona
metropolitan areas. Our operations consist of seven permanent ready mix concrete
batch plants, three sand and gravel crushing and screening facilities and a
fleet of approximately 180 ready mix concrete trucks and other assorted support
vehicles for transporting cement powder, sand and gravel, as well as maintenance
and service vehicles.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f30%2f0000950153-07-000685.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Reaves Utility Income Fund","UTG","$580.1","Not Available"
"Regenerx Biopharmaceuticals Inc","RGN","$58.2","RegeneRx Biopharmaceuticals, Inc. (the “Company”, “We”, “Us”, “Our”), is a
biopharmaceutical company focused on the discovery and development of novel
molecules to accelerate tissue and organ repair. Currently, we are developing
Thymosin beta 4 (“Tß4”), a 43 amino acid peptide as the basis for our technology
platform. Current research suggests that Tß4 may prove efficacious for multiple
medical indications; therefore, we are developing several Tß4-based therapeutic
drug candidates. We hold nearly sixty world-wide patents and patent applications
related to dermal, ophthalmic, and internal wounds and tissue repair, cardiac
and neurological injuries, and septic shock. We are currently sponsoring, in
parallel, three Phase II dermal wound healing clinical trials that are targeted
for full enrollment during 2007, with data reported during the second half of
the year.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f02%2f0001193125-07-071431.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Reis, Inc","WRP","$77.6","Wellsford Real Properties, Inc., which we refer to as Wellsford, was formed as a
Maryland corporation on January 8, 1997, as a corporate subsidiary of Wellsford
Residential Property Trust, which we refer to as the Residential Property Trust.
On May 30, 1997, the Residential Property Trust merged with Equity Residential,
which we refer to as EQR. Immediately prior to that merger, the Residential
Property Trust contributed certain of its assets to Wellsford and Wellsford
assumed certain of its liabilities. Immediately after the contribution of assets
to Wellsford and immediately prior to that merger, the Residential Property
Trust distributed to its common stockholders all of its outstanding shares of
Wellsford.
 
Business
 
Wellsford was originally formed to operate as a real estate merchant banking
firm to acquire, develop, finance and operate real properties and invest in
private and public real estate companies.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f30%2f0000950123-07-006226.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"RELM Wireless Corporation","RWC","$52.1","RELM Wireless Corporation (RELM) provides two-way radio communications equipment
of the highest quality and reliability.

In business for 60 years, RELM is a public company (Amex:RWC) designing,
manufacturing and marketing wireless communications products consisting of
two-way land mobile radios, repeaters, base stations, and related components and
subsystems. Two-way land mobile radios can be units that are hand-held
(portable) or installed in vehicles (mobile). Repeaters expand the range of
two-way land mobile radios, enabling them to operate over a wider area. Base
station components and subsystems are installed at radio transmitter sites to
improve performance by enhancing the signal and reducing or eliminating signal
interference and enabling the use of one antenna for both transmission and
reception. We employ both analog and digital technologies in our products.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f07%2f0001116502-07-000444.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Renaissance Acquisition Corp","RAK","$122.1","We are a blank check company incorporated in Delaware on April 17, 2006 in order
to serve as a vehicle for the acquisition of an operating business. On February
1, 2007, we completed our initial public offering (""IPO"") of 15,600,000 units,
and on February 16, 2007, we completed the closing of an additional 2,340,000
units that were subject to the underwriter's over-allotment option. Each Unit
consists of one share of our common stock and two warrants entitling the holder
to purchase one share of our common stock at a price of $5.00.  Beginning
February 15, 2007, our common stock and warrants began trading separately on the
American Stock Exchange.  The public offering price of each unit was $6.00, and
we generated gross proceeds of $107,640,000 in the IPO (including proceeds from
the exercise of the over-allotment option).&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f02%2f0000894579-07-000132.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Renaissance Acquisition Corp","RAK/U","$0.0","Not Available"
"RENAISSANCE ACQUISITION CORP","RAK/WS","$0.0","Not Available"
"Renaissance Capital Growth & Income Fund III, Inc.","RCG","$29.9","Renaissance Capital Growth & Income Fund III, Inc., (the “Fund” or the
“Registrant”) is a non-diversified, closed-end fund that has elected to be
treated as a business development company (a “BDC”) under the Investment Company
Act of 1940, as amended (the “1940 Act”). The Fund, a Texas corporation, was
organized and commenced operations in 1994.

The investment objective of the Fund is to provide its shareholders long-term
capital appreciation by investing primarily in privately placed convertible
securities and equity securities of emerging growth companies.

RENN Capital Group, Inc. (“RENN Group” or the “Investment Adviser”), a Texas
corporation, serves as the investment adviser to the Fund. In this capacity,
RENN Group is primarily responsible for the selection, evaluation, structure,
valuation, and administration of the Fund’s investment portfolio.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f16%2f0001144204-07-013243.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Rentech, Inc.","RTK","$321.6","The information contained in this section on business is qualified in its
entirety by, and is subject to, the detailed information, consolidated financial
statements and notes thereto contained elsewhere within this document.

Our Company

Rentech offers energy independence technologies utilizing domestic resources to
economically produce ultra-clean synthetic fuels. We were incorporated in 1981
to develop technologies that transform under-utilized energy resources into
valuable and clean alternative fuels, chemicals and power. We have developed an
advanced derivative of the well-established Fischer-Tropsch, or FT, process for
manufacturing diesel fuel and other fuel products. The FT process was originally
developed in Germany in the 1920s.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f12%2f14%2f0001104659-06-081594.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Retractable Technologies, Inc.","RVP","$43.2","We design, develop, manufacture, and market innovative patented safety needle
devices for the healthcare industry. Our VanishPoint® products utilize a unique
friction ring mechanism patented by Thomas J. Shaw, our Founder, President, and
Chief Executive Officer. VanishPoint® products are designed specifically to
prevent needlestick injuries and to prevent reuse. The friction ring mechanism
permits the automated retraction of the syringe needle into the barrel of the
syringe, directly from the patient, after delivery of the medication is
completed. The VanishPoint® blood collection tube holder utilizes the same
mechanism to retract the needle after blood has been drawn from the patient.
Closure of an attached end cap of the blood collection tube holder causes the
needle to retract directly from the patient into the closed tube holder. The IV
catheter also operates with a friction ring mechanism whereby the needle is
retracted after insertion of the catheter into the patient.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f02%2f0001104659-07-024925.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Rewards Network, Inc.","IRN","$130.2","We are a leading provider of marketing services, business intelligence, loyalty
programs and access to capital to the restaurant industry. Thousands of
restaurants across North America benefit from our services. We link our
participating restaurants to members of our loyalty programs by marketing
participating restaurants to members and providing members with incentives to
dine at participating restaurants. We attract members to our loyalty programs
through our website, www.rewardsnetwork.com, and relationships with leading
airline frequent flyer programs, clubs and other affinity organizations.
 
We market participating restaurants to members through the Internet, email and
print marketing. We offer business intelligence to participating restaurants by
providing aggregate data regarding members’ activity, including member feedback
through surveys. We also offer customer loyalty programs by providing loyalty
rewards to members when they dine at participating restaurants.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f15%2f0000950137-07-003857.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"RFR F.I.R.E. Fund","RFR","$22.0","Not Available"
"Richmont Mines, Inc.","RIC","$89.0","The legal and commercial name of the Company is Richmont Mines Inc. The Company
is a corporation domiciled in Quebec, Canada. The Company was incorporated
pursuant to Part 1A of the Companies Act (Quebec) on February 12, 1981 (File
number 1843-2286) under the name Resources Minières Rouyn Inc. By Article of
Amendment filed February 10, 1987 the Company added the English version Rouyn
Mining Resources Inc. and by another amendment filed with the Government of
Quebec on June 20, 1991, the Company changed its name to Richmont Mines Inc. The
Articles of Incorporation of the Company are registered by the Government of
Quebec in register S02473, folio 10.

The Company has no specific objects or purposes set forth in its Articles of
Incorporation or Bylaws.

The head office and principal place of business of the Company are located at
rented offices of approximately 3,400 square feet at 110 avenue Principale,
Rouyn-Noranda, Quebec, J9X 4P2, telephone number: (819) 797-2465.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f05%2f03%2f0001204459-06-000332.html#FIS_COMPANY_INFORMATION"" &nbsp;&nbsp;"
"Riviera Holdings Corporation","RIV","$339.1","Riviera Holdings Corporation, a Nevada corporation (the ""Company""),
through its wholly owned subsidiary, Riviera Operating Corporation, owns and
operates the Riviera Hotel & Casino (""Riviera Las Vegas"") located on the Las
Vegas Boulevard in Las Vegas, Nevada. Riviera Las Vegas opened in 1955, and has
a long-standing reputation for delivering traditional Las Vegas-style gaming,
entertainment and other amenities.

           The Company, through its wholly owned subsidiary, Riviera Black Hawk,
Inc., owns and operates the Riviera Black Hawk Casino (""Riviera Black Hawk""), a
limited-stakes casino in Black Hawk, Colorado, which opened on February 4, 2000.

           The Company determines segments based upon geographic gaming markets
and also reviews corporate expenses separately. The Company has two segments:
the Las Vegas, Nevada market and the Black Hawk, Colorado market.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f12%2f0000899647-07-000003.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"RMR Asia Pacific Real Estate Fund","RAP","$40.0","Not Available"
"RMR Asia Real Estate Fund","RAF","$74.8","No business description found."
"RMR Hospitality and Real Estate Fund","RHR","$40.6","Not Available"
"RMR Preferred Dividend Fund","RDR","$32.5","Not Available"
"RMR Real Estate Fund","RMR","$86.9","Not Available"
"Roberts Realty Investors, Inc.","RPI","$43.0","Roberts Realty Investors, Inc. is a Georgia corporation formed in 1994 that
owns and operates multifamily residential, retail, and office properties as a
self-administered, self-managed equity real estate investment trust, or REIT. We
expect to continue to qualify as a REIT for federal income tax purposes. A REIT
is a legal entity that holds real estate interests and, through its payment of
distributions, is able to reduce or avoid incurring federal income tax at the
corporate level. This structure allows shareholders to participate in real
estate investments without the “double taxation” of income – i.e., at both the
corporate and shareholder levels – that generally results from an investment in
shares of a corporation. To maintain our qualification as a REIT, we must, among
other things, distribute annually to our shareholders at least 90% of our
taxable income.
   We enter into contractual commitments in the normal course of business with
Roberts Properties, Inc.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f28%2f0000950144-07-002735.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"RUBICON MINERALS CORP","RBY","$141.3","Item 4 Information on the Company                             19
                                                                
A.    History and Development of the Company                  19
B.    Business Overview                                       20
C.    Organizational Structure                                37
D.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f04%2f03%2f0001199073-06-000225.html#FIS_COMPANY_INFORMATION"" &nbsp;&nbsp;"
"Rydex ETF Trust","RCD","$42.9","Not Available"
"Rydex ETF Trust","RFG","$14.5","Not Available"
"Rydex ETF Trust","RFV","$22.0","Not Available"
"Rydex ETF Trust","RGI","$8.6","Not Available"
"Rydex ETF Trust","RHS","$7.7","Not Available"
"Rydex ETF Trust","RMM","N/A","Not Available"
"Rydex ETF Trust","RMS","N/A","Not Available"
"Rydex ETF Trust","RPG","$58.0","Not Available"
"Rydex ETF Trust","RPV","$44.0","Not Available"
"Rydex ETF Trust","RRY","N/A","Not Available"
"Rydex ETF Trust","RRZ","N/A","Not Available"
"Rydex ETF Trust","RSP","$2,311.5","Not Available"
"Rydex ETF Trust","RSU","N/A","Not Available"
"Rydex ETF Trust","RSW","N/A","Not Available"
"Rydex ETF Trust","RTM","$8.5","Not Available"
"Rydex ETF Trust","RYE","$10.0","Not Available"
"Rydex ETF Trust","RYF","$4.3","Not Available"
"Rydex ETF Trust","RYH","$36.7","Not Available"
"Rydex ETF Trust","RYT","$12.7","Not Available"
"Rydex ETF Trust","RYU","$9.1","Not Available"
"Rydex ETF Trust","RZG","$10.5","Not Available"
"Rydex ETF Trust","RZV","$22.3","Not Available"
"Rydex ETF Trust","XLG","$602.4","Not Available"
"S&P Quality Rankings Glbl Equ Mngd Tr","BQY","$104.1","Not Available"
"Safety First Trust","AFO","N/A","No business description found."
"Safety First Trust","AKE","N/A","No business description found."
"Safety First Trust","AZP","N/A","No business description found."
"Salisbury Bancorp, Inc.","SAL","$57.4","Salisbury Bancorp, Inc. (AMEX:SAL) (the ""Company"") is a Connecticut  corporation
that was formed in 1998. Its primary  activity is to act as the holding  company
for its sole  subsidiary,  the  Salisbury  Bank and Trust  Company (the ""Bank""),
which accounts for most of the Company's net income.  The Company was founded in
April,  1998 for the  purpose  of  acquiring  all of the  stock of the Bank in a
shareholder-approved  reorganization,  which became  effective in 1998. The Bank
assumed  its  present  name in 1925  following  the  acquisition  by the Robbins
Burrall Trust  Company of the Salisbury  Savings  Society.  The Robbins  Burrall
Trust Company was  incorporated  in 1909 as the  successor to a private  banking
firm  established in 1874. The Salisbury  Savings  Society was  incorporated  in
1848.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f30%2f0000914317-07-000898.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Samaritan Pharmaceuticals","LIV","$11.6","Samaritan Pharmaceuticals, Inc. (including the subsidiaries, referred to as
Samaritan, the ""Company"", ""its"", ""we"", and ""our""), formed in September 1994, is
an entrepreneurial biopharmaceutical company, focused on commercializing
innovative therapeutic products to relieve the suffering of patients with
Alzheimer's disease; cancer; cardiovascular disease, HIV, and Hepatitis C; as
well as, commercializing its acquired marketing and sales rights, to sell nine
marketed revenue-generating products, in Greece, and/or various Eastern European
countries.

Samaritan has partnered its oral entry inhibitor HIV drug SP-01A, a drug that
has demonstrated safety and efficacy, in Phase II clinical trials, with
Pharmaplaz, Ireland to advance to Phase III clinical trials. In addition,
Samaritan aims to commercialize three blockbuster market drug candidates with
late-stage preclinical development programs.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f27%2f0001172665-07-000137.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"San Diego Gas & Electric Company","SDO^A","$7.0","A description of San Diego Gas & Electric Company (SDG&E or the company) is
given in ""Management's Discussion and Analysis of Financial Condition and
Results of Operations"" herein.

SDG&E’s common stock is wholly owned by Enova Corporation, which is a wholly
owned subsidiary of Sempra Energy, a California-based Fortune 500 holding
company.  The financial statements herein are the Consolidated Financial
Statements of SDG&E and its sole subsidiary, SDG&E Funding LLC.  Sempra Energy
also indirectly owns the common stock of Southern California Gas Company
(SoCalGas).  SDG&E and SoCalGas are collectively referred to herein as “the
Sempra Utilities.”





                                       4




Company Website


The company's website address is http://www.sdge.com and Sempra Energy’s website
address is http://www.sempra.com.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f23%2f0000086521-07-000015.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"San Diego Gas & Electric Company","SDO^B","$5.1","A description of San Diego Gas & Electric Company (SDG&E or the company) is
given in ""Management's Discussion and Analysis of Financial Condition and
Results of Operations"" herein.

SDG&E’s common stock is wholly owned by Enova Corporation, which is a wholly
owned subsidiary of Sempra Energy, a California-based Fortune 500 holding
company.  The financial statements herein are the Consolidated Financial
Statements of SDG&E and its sole subsidiary, SDG&E Funding LLC.  Sempra Energy
also indirectly owns the common stock of Southern California Gas Company
(SoCalGas).  SDG&E and SoCalGas are collectively referred to herein as “the
Sempra Utilities.”





                                       4




Company Website


The company's website address is http://www.sdge.com and Sempra Energy’s website
address is http://www.sempra.com.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f23%2f0000086521-07-000015.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"San Diego Gas & Electric Company","SDO^C","$5.7","A description of San Diego Gas & Electric Company (SDG&E or the company) is
given in ""Management's Discussion and Analysis of Financial Condition and
Results of Operations"" herein.

SDG&E’s common stock is wholly owned by Enova Corporation, which is a wholly
owned subsidiary of Sempra Energy, a California-based Fortune 500 holding
company.  The financial statements herein are the Consolidated Financial
Statements of SDG&E and its sole subsidiary, SDG&E Funding LLC.  Sempra Energy
also indirectly owns the common stock of Southern California Gas Company
(SoCalGas).  SDG&E and SoCalGas are collectively referred to herein as “the
Sempra Utilities.”





                                       4




Company Website


The company's website address is http://www.sdge.com and Sempra Energy’s website
address is http://www.sempra.com.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f23%2f0000086521-07-000015.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"San Diego Gas & Electric Company","SDO^H","$16.4","A description of San Diego Gas & Electric Company (SDG&E or the company) is
given in ""Management's Discussion and Analysis of Financial Condition and
Results of Operations"" herein.

SDG&E’s common stock is wholly owned by Enova Corporation, which is a wholly
owned subsidiary of Sempra Energy, a California-based Fortune 500 holding
company.  The financial statements herein are the Consolidated Financial
Statements of SDG&E and its sole subsidiary, SDG&E Funding LLC.  Sempra Energy
also indirectly owns the common stock of Southern California Gas Company
(SoCalGas).  SDG&E and SoCalGas are collectively referred to herein as “the
Sempra Utilities.”





                                       4




Company Website


The company's website address is http://www.sdge.com and Sempra Energy’s website
address is http://www.sempra.com.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f23%2f0000086521-07-000015.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Santa Monica Media Corporation","MEJ","$121.2","No business description found."
"Santa Monica Media Corporation","MEJ/U","$0.0","Not Available"
"Santa Monica Media Corporation","MEJ/WS","$0.0","Not Available"
"SCOLR Inc","DDD","$79.4","This report includes forward-looking statements within the meaning of the
Private Securities Litigation Reform Act of 1995. When used in this report, the
words “anticipate,” “believe,” “estimate,” “may,” “intend,” “expect,” and
similar expressions identify certain of such forward-looking statements.
Although we believe that our plans, intentions and expectations reflected in
such forward-looking statements are reasonable, we can give no assurance that
such plans, intentions or expectations will be achieved. Actual results,
performance or achievements could differ materially from historical results or
those contemplated, expressed or implied by the forward-looking statements
contained in this annual report.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f13%2f0001193125-07-053283.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Scudder RREEF Real Estate Fund II, Inc.","SRO","$565.9","Not Available"
"Scudder RREEF Real Estate Fund, Inc.","SRQ","$307.7","Not Available"
"Seaboard Corporation","SEB","$2,007.5","Seaboard  Corporation,  a  Delaware  corporation,  the  successor
corporation  to  a  company  first  incorporated  in  1928,   and
subsidiaries    (Seaboard)   is   a   diversified   international
agribusiness  and transportation company.  In the United  States,
Seaboard  is primarily engaged in pork production and processing,
and   ocean  transportation.   Overseas,  Seaboard  is  primarily
engaged  in  commodity  merchandising,  grain  processing,  sugar
production,  and electric power generation.  See  Item  1(c)  (1)
(ii)  ""Status  of Product or Segment"" below for a  discussion  of
developments in specific segments.

Seaboard  Flour LLC, a Delaware limited liability  company,  owns
approximately  70.9 percent of the outstanding  common  stock  of
Seaboard.   Mr.  Steven J. Bresky, President and Chief  Executive
Officer  of  Seaboard, and other members of  the  Bresky  family,
including  trusts  created for their benefit,  own  approximately
99.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f05%2f0000088121-07-000002.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Seabridge Gold, Inc.","SA","$1,135.8","172 King Street East, 3rd Floor, Toronto, Ontario M5A 1J3 Canada
Telephone:  (416) 367-9292
Facsimile:  (416) 367-2711
E-Mail:  info@seabridgegold.net
Website:  www.seabridgegold.net

The Contact person in Toronto is Rudi Fronk, President and CEO.

The Company currently leases its executive offices in Toronto on a sub-lease
from the Academy of Canadian Cinema and Television. The lease covers the entire
3rd floor of a building located at 172 King Street East, Toronto, Ontario,
Canada. The original sublease was effective January 21, 1999 and expired
February 28, 2004. The sublease was renewed commencing March 1, 2004 and will
expire on May 1, 2007. The Company is in the process of committing to a new
five-year lease at a new location at higher rents. The initial rent was for
$4,265 per month, and is adjusted annually based upon a building cost operating
adjustment. Current monthly rent is approximately $4,500.

The Company's fiscal year ends December 31st.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f29%2f0000950120-07-000228.html#FIS_COMPANY_INFORMATION"" &nbsp;&nbsp;"
"Seanergy Maritime Corp","SRG","N/A","Not Available"
"Seanergy Maritime Corp","SRG/U","N/A","Not Available"
"Seanergy Maritime Corp","SRG/WS","N/A","Not Available"
"Secure America Acquisition Corporation","HLD/U","N/A","Not Available"
"Select Sector SPDR Fund - Basic Industries","XLB","$1,377.4","Not Available"
"Select Sector SPDR Fund - Consumer Discretionary","XLY","$601.9","Not Available"
"Select Sector SPDR Fund - Consumer Staples","XLP","$1,744.1","Not Available"
